"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trend_time","trip_duration_sec","travel_mode","trend_wknd_week","trip_scaled_ratio"
"NW0yN2FpMWloYnN1MTo1ZHY1bnFtNWF0dDhm","130510577",20.083115,-98.718746,"130480001100A064",20.111783,-98.723853,"2023-12-14T08:40:57","morning",278,"driving","weekday",76.38
"YjNoYzhiNGxucDMyNTo4Njl2NnIwNWdrZ2tq","13083002A",19.879525,-98.713167,"1308301020513004",20.022519,-98.810456,"2023-12-28T21:11:50","night",2117,"driving","weekday",67.42
"ZDAya2g3ZTkzbG44OTpha2thMjZhZHRxM2o5","1304800011052024",20.112383,-98.771961,"1304800011052017",20.112727,-98.77342,"2023-06-29T12:45:33","afternoon",478,"walking","weekday",37.53
"Y2UwZWxsdm5xcjNvYzo3bzZza21kMG1rMXFq","130480001036A028",20.084703,-98.77166,"1304800012972008",20.033119,-98.778999,"2023-10-04T16:33:06","afternoon",615,"driving","weekday",8.37
"OThhMjNrYmFpYWNuczphcTMyOGpzb2RqazIz","1304800010919014",20.121396,-98.764579,"1304800011993010",20.119421,-98.799169,"2023-10-07T15:02:43","afternoon",449,"driving","weekend",10.99
"MXQ0aWlzYWJxZ2pvNDo1dDU3YTFycDRnNzJi","1306300010309040",19.902656,-99.336383,"130630020053A048",19.913857,-99.319088,"2023-06-10T18:43:06","evening",583,"cycling","weekend",159.85
"OHV2bWFuZ2xlOTUzNDo5bzFxdjc4ODc2amxj","1307200010083020",19.815066,-98.603518,"1307200010083020",19.814894,-98.60369,"2023-06-12T17:22:45","evening",35,"walking","weekday",1
"YWprZDFpbmEwNzZmaDpjc3YwcTR1MnQ3b2dw","13008003A",19.690998,-98.554337,"13008003A",19.689624,-98.553436,"2023-10-10T11:14:10","morning",273,"walking","weekday",2.89
"NjVoMWZoOHJrczM1ODo3bGdlaGZuNmRoNHZq","130760025",20.0614,-99.283898,"130100324",20.057924,-99.272912,"2023-12-26T02:32:13","night",257,"driving","weekday",2.18
"NTU3amU5dGlicm11OTo0YjlubDNydG03cjBs","130630031",19.87283,-99.334667,"130630012",19.985139,-99.441826,"2023-10-09T19:41:46","evening",712,"driving","weekday",12.53
"MWYxODEzN2k4Z3BrNzpjOTY0ZjAxNTBwZW1t","1301000020269004",20.053847,-99.238236,"1301000010042011",20.055134,-99.221799,"2023-12-20T18:17:03","evening",290,"driving","weekday",54.63
"NmhyOGY2M2M5ZDJrZzo4YnY2OWp1dDQ2MzZt","1304800010976008",20.109808,-98.750889,"1304801582703013",20.100067,-98.835132,"2023-12-05T20:35:17","evening",820,"driving","weekday",23.15
"MWpmamgxcTNuc3A4NDo3ZDh2ODdoazBwNmk0","130520023",20.131738,-98.847106,"130520019031A001",20.155599,-98.802001,"2023-12-28T19:34:08","evening",776,"driving","weekday",14.46
"ODBkNTBiOTU4YnR2dTo5MnZyZXNmdDNrOXFk","1304800010162005",20.111783,-98.759387,"1304800010143022",20.127919,-98.73162,"2023-06-08T23:26:31","night",305,"driving","weekday",22.99
"M2N2NmtucGZ0MGFhZTo5cXJmamtubW43Z2tz","1305100141147012",20.085862,-98.741448,"1305100141147012",20.086033,-98.741362,"2023-10-14T12:16:37","afternoon",373,"driving","weekend",2.29
"OGxvOWIxZ2VtdnFjYjo2cjFjbjRlajlyaHZu","1306100020535016",19.762151,-98.582876,"1306100020535016",19.762151,-98.582833,"2023-12-17T11:50:05","morning",1316,"driving","weekend",19.75
"ZGVlYTU4aTRidHZuZzphMDNkdHBuNGxmOXBz","1304800011601018",20.105989,-98.732178,"1304800010764014",20.108092,-98.777668,"2023-12-25T17:11:56","evening",546,"driving","weekday",32.02
